BRSERTYP,Branch_Service_Type
12,"Full Service, retail office"
13,"Full Service, cyber office"
21,"Limited Service, administrative office"
22,"Limited Service, military facility"
23,"Limited Service, drive-through facility"
24,"Limited Service, loan production office"
25,"Limited Service, consumer credit office"
26,"Limited Service, contractual office"
27,"Limited Service, messenger office"
28,"Limited Service, retail office"
29,"Limited Service, mobile/seasonal office"
30,"Limited Service, trust office"
